id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-1048,medium,Audio devices must have mode 0660 or less permissive.,"Audio and video devices that are globally accessible have proven to be another security hazard.  There is software that can activate system microphones and video devices connected to user workstations and/or X terminals.  Once the microphone has been activated, it is possible to eavesdrop on otherwise private conversations without the victim being aware of it.  This action effectively changes the user's microphone to a bugging device.",['ECLP-1'],SV-1048r2_rule,F-24491r1_fix,"Change the mode of audio devices.
# chmod o-w <audio device>",C-893r2_chk,"Check the mode of audio devices.  If the mode of audio devices are more permissive than 0660, this is a finding."
V-4702,medium,"If the system is an anonymous FTP server, it must be isolated to the DMZ network.",Anonymous FTP is a public data service which is only permitted in a server capacity when located on the DMZ network.,"['EBBD-1', 'EBBD-2', 'EBBD-3', 'ECSC-1']",SV-4702r2_rule,F-4630r2_fix,Move the system to a DMZ network.,C-712r2_chk,"Use the command ftp to connect the system's FTP service. Attempt to log into this host with a user name of anonymous and a password of guest (also try the password of guest@mail.com). If the logon is not successful, this check is not applicable.

Ask the SA if the system is located on a DMZ network. If the system is not located on a DMZ network, this is a finding."
V-4701,low,The system must not have the finger service active.,The finger service provides information about the system's users to network clients.  This information could expose information that could be used in subsequent attacks.,"['DCPP-1', 'EBRU-1']",SV-4701r2_rule,F-4629r2_fix,Disable the finger service.,C-2521r2_chk,"Determine if the system has the finger service active.  If the finger service is active, this is a finding."
V-12021,medium,The syslog daemon must not accept remote messages unless it is a syslog server documented using site-defined procedures.,"Unintentionally running a syslog server that accepts remote messages puts the system at increased risk.  Malicious syslog messages sent to the server could exploit vulnerabilities in the server software itself, could introduce misleading information in to the system's logs, or could fill the system's storage leading to a Denial-of-Service.",['ECSC-1'],SV-12522r2_rule,F-11280r2_fix,Configure the system syslog daemon to not accept messages from remote hosts.,C-7986r2_chk,"Determine if the syslog daemon accepts remote messages.  If it does, this is a finding."
V-1049,medium,Audio devices must be owned by root.,"Audio and video devices that are globally accessible have proven to be another security hazard.  There is software that can activate system microphones and video devices connected to user workstations and/or X terminals.  Once the microphone has been activated, it is possible to eavesdrop on otherwise private conversations without the victim being aware of it.  This action effectively changes the user's microphone to a bugging device.",['ECLP-1'],SV-1049r2_rule,F-1203r2_fix,"Change the owner of the audio device.
# chown root <audio device>",C-28270r1_chk,"Check the owner of audio devices.  If the owner of an audio device is not root, this is a finding."
V-769,medium,The root user must not own the logon session for an application requiring a continuous display.,"If an application is providing a continuous display and is running with root privileges, unauthorized users could interrupt the process and gain root access to the system.",['PESL-1'],SV-769r2_rule,F-923r2_fix,"Configure the system so the owner of a session requiring a continuous screen display, such as a network management display, is not root. Ensure the display is also located in a secure, controlled access area. Document and justify this requirement. Ensure the terminal and keyboard for the display (or workstation) are secure from all but authorized personnel by maintaining them in a secure area, in a locked cabinet where a swipe card, or other positive forms of identification, must be used to gain entry.  ",C-229r2_chk,"If there is an application running on the system continuously in use (such as a network monitoring application), ask the SA what the name of the application is. Execute the following to determine which user owns the process(es) associated with the application. If the owner is root, this is a finding.

# ps -ef | more"
V-768,medium,The delay between login prompts following a failed login attempt must be at least 4 seconds.,Enforcing a delay between successive failed login attempts increases protection against automated password guessing attacks.,"['ECLO-1', 'ECLO-2']",SV-768r2_rule,F-24359r1_fix,Configure the system to delay at least 4 seconds between login prompts following a failed login attempt.,C-28005r1_chk,"Attempt to log on to the system with an invalid user account name and an incorrect password.  If the system does not pause for at least 4 seconds before displaying another logon prompt, this is a finding."
V-819,medium,The audit system must be configured to audit all discretionary access control permission modifications.,"If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises and damages incurred during a system compromise.","['ECAR-1', 'ECAR-2', 'ECAR-3']",SV-819r2_rule,F-24550r1_fix,Configure the system to audit all discretionary access control permission modifications.,C-28433r1_chk,"Verify the system is configured to audit all discretionary access control permission modifications.  If the system does not audit any of these events, this is a finding.
"
V-818,medium,"The audit system must be configured to audit login, logout, and session initiation.","If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises and damages incurred during a system compromise.","['ECAR-1', 'ECAR-2', 'ECAR-3']",SV-818r2_rule,F-973r2_fix,"Configure the system to audit login, logout, and session initiation.",C-561r2_chk,"Verify the system is configured to audit login, logout, and session initiation.  If the system does not audit any of these events, this is a finding."
V-816,medium,"The audit system must be configured to audit all administrative, privileged, and security actions.","If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises and damages incurred during a system compromise.","['ECAR-1', 'ECAR-2', 'ECAR-3']",SV-816r2_rule,F-970r2_fix,"Configure the system to audit all administrative, privileged, and security actions.",C-558r2_chk,"Check the system configuration to determine if all administrative, privileged, and security actions are audited.  If any of these categories of events is not audited, this is a finding."
V-815,medium,The audit system must be configured to audit file deletions.,"If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises and damages incurred during a system compromise.","['ECAR-1', 'ECAR-2', 'ECAR-3']",SV-815r2_rule,F-969r2_fix,Configure the system to audit file and program deletion.,C-557r2_chk,"Check the system audit configuration.  If the system is not configured to audit file and program deletion, this is a finding."
V-814,medium,The audit system must be configured to audit failed attempts to access files and programs.,"If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises and damages incurred during a system compromise.","['ECAR-1', 'ECAR-2', 'ECAR-3']",SV-814r2_rule,F-968r2_fix,Configure the system to audit failed attempts to access files and programs.,C-556r2_chk,"Check the audit configuration to determine if failed attempts to access files and programs are audited.  If they are not, this is a finding.
"
V-813,medium,System audit logs must have mode 0640 or less permissive.,"If a user can write to the audit logs, audit trails can be modified or destroyed and system intrusion may not be detected.  System audit logs are those files generated from the audit system and do not include activity, error, or other log files created by application software.",['ECTP-1'],SV-813r2_rule,F-967r2_fix,"Change the mode of the audit log directories/files.
# chmod 0750 <audit directory>
# chmod 0640 <audit file>
",C-555r2_chk,"Check the mode of the audit log file(s).
# ls -l <audit log file>
If any audit log file has a mode more permissive than 0640, this is a finding."
V-760,medium,"Direct logins must not be permitted to shared, default, application, or utility accounts.",Shared accounts (accounts where two or more people log in with the same user identification) do not provide identification and authentication.  There is no way to provide for non-repudiation or individual accountability.,"['ECSC-1', 'IAIA-1']",SV-760r2_rule,F-24339r1_fix,Use the switch user (su) command from a named account login to access shared accounts. Maintain audit trails that identify the actual user of the account name. Document requirements and procedures for users/administrators to log into their own accounts first and then switch user (su) to the shared account.  ,C-27975r1_chk,"Use the last command to check for multiple accesses to an account from different workstations/IP addresses. If users log directly onto accounts, rather than using the su command from their own named account to access them, this is a finding (such as logging directly on to Oracle). Also, ask the SA or the IAO if shared accounts are logged into directly or if users log on to an individual account and switch user to the shared account.

"
